step_count,step_length,gradient_norm_L1,gradient_norm_L2,misfit,if_restarted,slope,theta
03,1.434E+11,3.908E-05,1.844E-07,1.142E-04,0,6.886E-15,0.000E+00
01,1.000E+00,8.853E-05,4.265E-07,3.682E-04,0,-2.882E-04,2.716E+01
01,1.000E+00,2.172E-05,1.085E-07,3.963E-04,0,-3.163E-04,2.381E+01
01,1.000E+00,1.280E-05,6.400E-08,3.855E-04,0,-3.055E-04,1.632E+01
01,1.000E+00,1.394E-05,6.095E-08,3.653E-04,0,-2.853E-04,4.224E+01
01,1.000E+00,1.049E-05,4.706E-08,3.360E-04,0,-2.560E-04,4.370E+01
01,1.000E+00,1.808E-05,7.380E-08,3.248E-04,0,-2.448E-04,4.691E+01
01,1.000E+00,4.011E-06,1.779E-08,3.250E-04,0,-2.450E-04,2.929E+01
01,1.000E+00,3.741E-06,1.635E-08,3.237E-04,0,-2.437E-04,3.103E+01
01,1.000E+00,4.256E-06,1.937E-08,3.120E-04,0,-2.320E-04,6.015E+01
01,1.000E+00,5.507E-06,2.338E-08,3.077E-04,0,-2.277E-04,6.356E+01
01,1.000E+00,1.001E-05,4.409E-08,3.052E-04,0,-2.252E-04,6.890E+01
01,1.000E+00,2.352E-06,1.058E-08,3.055E-04,0,-2.255E-04,4.025E+01
01,1.000E+00,1.858E-06,8.211E-09,3.050E-04,0,-2.250E-04,4.574E+01
01,1.000E+00,3.261E-06,1.407E-08,3.017E-04,0,-2.217E-04,7.113E+01
01,1.000E+00,3.523E-06,1.580E-08,2.992E-04,0,-2.192E-04,7.296E+01
01,1.000E+00,5.522E-06,2.381E-08,2.922E-04,0,-2.122E-04,5.654E+01
01,1.000E+00,3.285E-06,1.381E-08,2.918E-04,0,-2.118E-04,4.284E+01
01,1.000E+00,1.630E-06,7.654E-09,2.913E-04,0,-2.113E-04,5.641E+01
01,1.000E+00,2.028E-06,9.295E-09,2.893E-04,0,-2.093E-04,6.891E+01
01,1.000E+00,2.388E-06,1.037E-08,2.875E-04,0,-2.075E-04,6.971E+01
01,1.000E+00,2.252E-06,1.020E-08,2.850E-04,0,-2.050E-04,6.957E+01
01,1.000E+00,2.011E-06,9.206E-09,2.830E-04,0,-2.030E-04,4.269E+01
01,1.000E+00,1.074E-05,4.883E-08,2.828E-04,0,-2.028E-04,4.534E+01
01,1.000E+00,1.800E-06,7.805E-09,2.828E-04,0,-2.028E-04,6.984E+01
01,1.000E+00,1.064E-06,4.739E-09,2.832E-04,0,-2.032E-04,5.277E+01
01,1.000E+00,7.228E-07,3.253E-09,2.832E-04,0,-2.032E-04,3.880E+01
01,1.000E+00,7.913E-07,3.608E-09,2.830E-04,0,-2.030E-04,5.647E+01
01,1.000E+00,1.399E-06,6.376E-09,2.817E-04,0,-2.017E-04,7.462E+01
01,1.000E+00,1.460E-06,6.397E-09,2.805E-04,0,-2.005E-04,7.659E+01
